"ID","COPYRIGHT_ID","NAME","COPYRIGHT","TERMS_OF_USE","URL"
"189","DC","David Cella, PhD","Copyright © 2010 David Cella, PhD.","Used with permission. All of these Neuro-QOL instruments can be used at no charge. We do ask, however, that you contact Neuro-QOL project manager, Vitali Ustsinovich, at v-ustsinovich@northwestern.edu and let him know that you intend to use Neuro-QOL.","http://www.neuroqol.org"
"195","CAP","College of American Pathologists","Copyright © 2017 College of American Pathologists","Used with permission","https://www.cap.org/"
"204","FACIT","Functional Assessment of Chronic Illness Therapy","Copyright © 2010 FACIT.org.","Used with permission. All translations, adaptations, symptom indices, computer programs, and scoring algorithms, and any other related documents of the Functional Assessment of Chronic Illness Therapy (FACIT) Measurement System, including the Functional Assessment of Cancer Therapy (FACT), are owned and copyrighted by, and the intellectual property of, David Cella, Ph.D.","http://www.facit.org/FACITOrg/AboutUs/Copyright"
"214","RCP","The Royal College of Psychiatrists","Copyright © The Royal College of Psychiatrists","The Edinburgh Postnatal Depression Scale may be photocopied by individual researchers or clinicians for their own use without seeking permission from the publishers. The scale must be copied in full and all copies must acknowledge the following source: Cox, J.L., Holden, J.M., & Sagovsky, R. (1987). Detection of postnatal depression. Development of the 10-item Edinburgh Postnatal Depression Scale. British Journal of Psychiatry, 150, 782-786. Written permission must be obtained from the Royal College of Psychiatrists for copying and distribution to others or for republication (in print, online or by any other medium).","http://www.rcpsych.ac.uk/"
"215","M3","My Mood Monitor Checklist","Copyright © 2002-2012 M3 Information.","Used with permission.","http://www.whatsmym3.com/TermsOfUse.aspx"
"220","P.E.D.S.","PEDSTest.com, LLC","Copyright © 2012 Frances Page Glascoe, PEDStest.com.","Used with permission.","http://www.pedstest.com/Home.aspx"
"221","MLHFQ","Minnesota Living with Heart Failure Questionnaire","Copyright ©1986 Regents of the University of Minnesota, All rights reserved. Do not copy or reproduce without permission. LIVING WITH HEART FAILURE® is a registered trademark of the Regents of the University of Minnesota.","Used with permission.","http://license.umn.edu/technologies/94019_minnesota-living-with-heart-failure-questionnaire"
"222","KCCQ","John Spertus, MD, MPH","Copyright © 1996-2005 John Spertus, MD, MPH.","Used with permission.","http://www.cvoutcomes.org"
"224","Brigance","Brigance Screen","Copyright © 2010, 2008 CURRICULUM ASSOCIATES®, LLC.","Used with permission.","http://www.curriculumassociates.com/default.aspx"
"228","PHB","Paul H. Brookes Publishing Co","Copyright © 2009 Paul H. Brookes Publishing Co., Inc.","Used with permission.","www.brookespublishing.com/asq"
"246","CDR","Clinical Dementia Rating Scale (CDR)","Copyright © Washington University Charles F. and Joanne Knight Alzheimer's Disease Research Center (Knight ADRC).","Used with permission.","http://knightadrc.wustl.edu/CDR/CDR.htm"
"247","MMSE","Mini Mental State Examination","Copyright © Vicki King for Psychological Assessment Resources.","Used with permission.","http://www.parinc.com"
"248","KOOS","Knee injury and osteoarthritis outcome score","Copyright © 2012 Ewa Roos.","Used with permission.","http://www.koos.nu/"
"249","HOOS","Hip dysfunction and osteoarthritis outcome score","Copyright © 2012 Ewa Roos.","Used with permission.","http://www.koos.nu/"
"250","MiniCog","Mini-Cog","Copyright © 2000 Soo Borson.","Used with permission.",""
"251","BOMC","Blessed orientation-memory-concentration test (BOMC)","Copyright © The Hartford Institute for Geriatric Nursing, College of Nursing, New York University.","Used with permission.","https://nursing.nyu.edu/innovation/hartford-institute-geriatric-nursing"
"252","SLUMS","St. Louis University mental status examination (SLUMS)","Copyright © Saint Louis University/Department of Veterans Affairs.","Used with permission.","https://www.slu.edu/registrar/services/veterans-benefits.php"
"253","IQCODE","Short Informant Questionnaire on Cognitive Decline in the Elderly (IQCODE)","Copyright © Anthony Jorm.","Used with permission.",""
"254","AD8","Ascertain Dementia 8 (AD8)","Copyright © 2005 The Eight-item Informant Interview to Differentiate Aging and Dementia is a copyrighted instrument of Washington University, St. Louis, Missouri. All Rights Reserved.","Washington University grants permission to use and reproduce the Eight-item Informant Interview to Differentiate Aging and Dementia exactly as it appears in the PDF available here without modification or editing of any kind solely for end user use in investigating dementia in clinical care or research in clinical care or research (the ""Purpose""). For the avoidance of doubt, the Purpose does not include the (i) sale, distribution or transfer of the Eight-item Informant Interview to Differentiate Aging and Dementia or copies thereof for any consideration or commercial value; (ii) the creation of any derivative works, including translations; and/or (iii) use of the Eight-item Informant Interview to Differentiate Aging and Dementia as a marketing tool for the sale of any drug.","http://knightadrc.wustl.edu/CDR/AD8.htm"
"255","MoCA","Montreal Cognitive Assessment (MoCA)","Copyright © Tina Brosseau for Center for Diagnosis & Research on Alzheimer's disease (CEDRA).","Used with permission.","http://www.neurorivesud.ca/index_fr.php"
"256","FaB","Falls Behavioral Scale for Older People (FaB)","Copyright © 2003 Clemson, Cumming & Heard.","Used with permission.",""
"257","HKOI","American Academy of Orthopaedic Surgeons hip and knee outcomes questionnaire","Copyright © American Academy of Orthopaedic Surgeons.","Used with permission.","https://www.aaos.org/Default.aspx?ssopc=1"
"261","NPUAP","National Pressure Ulcer Advisory Panel (NPUAP)","Copyright © 2012 National Pressure Ulcer Advisory Panel (NPUAP).","Used with permission.","http://www.npuap.org/"
"267","BSL-23","Borderline Symptom List - 23 Item","Copyright © PSM ZI Mannheim/Germany.","Used with permission.",""
"269","BSL-SUPP","Borderline Symptom List - Supplement","Copyright © PSM ZI Mannheim/Germany.","Used with permission.",""
"287","NSRAS_BH","Barbara Huffines","Copyright © 1997 Barbara Huffines.","Used with permission.","http://www.ncbi.nlm.nih.gov/pubmed/9423386"
"303","InterRAIDOC","interRAI Clinical Instruments","Copyright © 2009 InterRAI.","Used with permission.","http://www.interrai.org/terms-of-use.html"
"310","VR","Veterans RAND","Copyright © 2004 RAND.","Used with permission per LOINC Terms of Use. The Veterans RAND 12 Item Health Survey (VR-12) was developed from the Veterans RAND 36 Item Health Survey (VR-36) which was developed from the MOS RAND SF-36 Version 1.0. Details involving the VR-36 and VR-12 questionnaires, scoring algorithms for PCS and MCS summary measures, and imputation programs for missing values can be obtained on request by agreeing to the stipulations given by the RAND Corporation website (See http://www.rand.org/health/surveys_tools/mos/mos_core_36item_terms.html) in a letter to Dr. Lewis Kazis (lek@bu.edu) on institutional letter head. Users of the VR-12 or VR-36 in clinical research studies should also notify Dr. Kazis.",""
"311","BSS_IDI","Behavior Science Systems, Inc., Infant Development Inventory (IDI)","Copyright © 1994 Harold R. Ireton.","Used with permission.","https://childdevelopmentreview.com/contact"
"315","BSS_CDI","Behavior Science Systems, Inc., Child Development Inventory (CDI)","Copyright © 1992 Harold R. Ireton.","Used with permission.","https://childdevelopmentreview.com/contact"
"316","BINS","Bayley Infant Neurodevelopmental Screener (BINS)","Copyright © 1995 NCS Pearson, Inc.","Reproduced with permission. All rights reserved. ""Bayley Infant Neurodevelopmental Screener"" and ""BINS"" are trademarks, in the US and/or other countries, of Pearson Education, Inc. or its affiliates(s).","https://www.pearsonclinical.com/psychology/products/100000163/bayley-infant-neurodevelopmental-screener-bins-bins.html"
"317","HAQ","Health Assessment Questionnaire (HAQ)","Copyright © Stanford University.","Used with permission.","http://patienteducation.stanford.edu/research"
"318","MAST-G","Michigan Alcoholism Screening Test–Geriatric Version (MAST-G)","Copyright © 1991 The Regents of the University of Michigan.","Used with permission.",""
"319","CHB","Children's Hospital Boston","Copyright © 2009 Children’s Hospital Boston.","Used with permission.","http://www.ceasar.org/CRAFFT/pdf/CRAFFT_English.pdf"
"364","CPA","Centre for Policy on Ageing","Copyright © 1962 Centre for Policy on Ageing (formerly NCCOP), London, UK.","Reproduced with permission.","http://www.cpa.org.uk/pubs/cpa_publications.html"
"1375","ADVault","ADVault, Inc.","Copyright © 2014 ADVault, Inc.","Used with permission.","https://mydirectives.com/en/about/terms/"
"1377","NIH_Tbox","National Institutes of Health Toolbox","Copyright © 2006-2016 National Institutes of Health and Northwestern University.","Used with permission.","http://www.nihtoolbox.org/Terms%20and%20Conditions/Pages/default.aspx"
"1384","JRheu_PAS","The Journal of Rheumatology","Copyright © 2005 The Journal of Rheumatology.","Used with permission.","https://www.jrheum.com/"
"1387","ESI","ESI Triage Research Team","ESI Copyright © 2004, ESI Triage Research Team","Used with permission.","http://www.ESItriage.org/"
"1390","COOP","Dartmouth College/COOP Project","Copyright © 2009 Trustees of Dartmouth College/COOP Project.","Used with permission.","http://www.dartmouthcoopproject.org/the-co-op-charts- overview/"
"1392","WHO_AUDIT","World Health Organization (WHO)","Copyright © 2001 World Health Organization.","Used with permission.","http://www.who.int/about/licensing/en/"
"1401","CTAS","Canadian Triage and Acuity Scale","Copyright © Canadian Triage and Acuity Scale","Used with permission","http://caep.ca/resources/ctas"
"1408","AAAM_AIS","Association for the Advancement of Automotive Medicine (AAAM)","Copyright © 2008 Association for the Advancement of Automotive Medicine (AAAM).","Used with Permission. Use of the Abbreviated Injury Scale (AIS) requires a license. Both individual use and site licenses can be purchased from AAAM.","https://www.aaam.org/abbreviated-injury-scale-ais/"
"1440","BPI","Charles S. Cleeland, Ph.D.","Copyright © 1991 Dr. Charles S. Cleeland","Used with permission.","https://www.mdanderson.org/research/departments-labs-institutes/departments-divisions/symptom-research/symptom-assessment-tools/brief-pain-inventory.html"
"1447","AAP","American Academy of Pediatrics","Portions Copyright © 2002 American Academy of Pediatrics.","Used with permission.","http://shop.aap.org/licensing-permissions/"
"1454","FIOH_OSQ","Finnish Institute of Occupational Health, Occupational Stress Questionnaire","Occupational stress questionnaire™ (OSQ™); Copyright by Finnish Institute of Occupational Health; Elo A-L, Leppänen A, Lindström K, Ropponen T (2012).www.ttl.fi","Used with permission","http://www.ttl.fi/"
"1457","GPCOG","General Practitioner Assessment of Cognition (GPCOG)","Copyright © 2002 University of New South Wales as represented by the Dementia Collaborative Research Centre – Assessment and Better Care","Used with permission.","http://gpcog.com.au/index.php"
"1463","CareConnections","CareConnections","Portions Copyright © 2015 Therapeutic Associates, Inc.","Used with permission.","http://www.careconnections.com/outcomes-system/"
"1470","AM-PAC","Activity Measure for Post-Acute Care","Portions Copyright © 2013 CRE Care.","Used with permission.","http://am-pac.com/category/home/"
"1502","Elsevier_NDI","Elsevier","This article was published in the JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS, vol14(7) Vernon, H. and Mior, S., The Neck Disability Index: a study of reliability and validity, pp.409 to 415, Copyright © Elsevier (1991)","Used with permission","https://www.elsevier.com/"
"1509","OPTUM","Optum","Portions © OPTUMInsight, Inc.","Used with permission.","https://www.optum.com/"
"1511","CAMH_DAST","Center for Addiction and Mental Health","Copyright © 1982 Center for Addiction and Mental Health.","Used with permission.","http://www.camh.ca/en/hospital/Pages/home.aspx"
"1515","Regeneron","Regeneron Pharmaceuticals","Copyright © 1996 Regeneron Pharmaceuticals.","Used with permission.","https://www.regeneron.com/"
"1519","Elsevier_BSDS","Elsevier","This article was published in Journal of Affective Disorders, Vol 84(2-3), Ghaemi et al, Sensitivity and specificity of a new bipolar spectrum diagnostic scale, Appendix A, Copyright © Elsevier 2005.","Used with permission.","https://www.elsevier.com/"
"1520","Uminnesota","University of Minnesota","Copyright © Maxwell, Hibberd, Pratt, Peek and Baird 2013","Used with permission","http://www.pcamonline.org/"
"1529","MDQ","Dr. Robert Hirschfeld","Copyright 2002 © Dr. Robert Hirschfeld.","Used with permission.",""
"1537","RFSUNY_ePCAM","Research Foundation for State University of New York","Copyright 2016 © Research Foundation for State University of New York","Used with permission.","https://www.rfsuny.org/"
"1546","PERA_RI","PeraHealth Inc.","Copyright © 2016 PeraHealth","Used with permission","http://perahealth.com/rothman"
"1553","KFRE_DYN","Dr. Navdeep Tangri","Copyright © Dr. Navdeep Tangri","Used with permission","http://kidneyfailurerisk.com/"
"1559","HSS_HOOSJR","Hospital for Special Surgery","Copyright © 2016 Hospital for Special Surgery.","Used with permission","https://www.hss.edu/"
"1560","HSS_KOOSJR","Hospital for Special Surgery","Copyright © 2016 Hospital for Special Surgery.","Used with permission","https://www.hss.edu/"
"1566","IH_PAM","Insignia Health","Insignia Health, LLC®. Patient Activation Measure®; Copyright 2003-2017, University of Oregon.","Used with permission","http://www.insigniahealth.com/products/pam-survey"
"1567","CHW","Children's HealthWatch","© 2010 Dr. Erin Hager and Dr. Anna Quigg and the Children's HealthWatch research team","Used with permission","http://www.childrenshealthwatch.org"
"1592","AHA_Cardiac Risk","American Heart Association","© 2013 American Heart Association","Used with permission",""
"1593","AHA_TOAST","American Heart Association","© 1992 American Heart Association","Used with permission",""
"1594","AHA_NYHA","American Heart Association","© 1994 American Heart Association","Used with permission",""
"1611","SAQ","John Spertus, MD, MPH","Copyright © 1995-2005 John Spertus, MD, MPH.","Used with permission.","http://www.cvoutcomes.org"
"1619","CUBS","Medical Decision Logic, Inc.","©2017 Medical Decision Logic","Used with permission","https://bh-works.com/"
"1620","EarlyCDT_Oncimmune","Oncimmune","EarlyCDT® is a registered trademark of Oncimmune.","Used with permission.","http://oncimmune.com/"
"1622","RAPID3_Pincus","Dr. Theodore Pincus","RAPID3 © 2008 - All rights reserved.","Used with permission.",""
"1623","PHQ9Teen_Reach","The Reach Institute","© 2010 The Reach Institute.","Used with permission. Permission granted from the GLAD-PC Steering Committee and the REACH Institute (www.TheReachInstitute.org)","www.TheReachInstitute.org"
"1624","Wells","Dr. Phillip Wells","© 2001 Dr. Phillip Wells.","Used with permission.",""
"1625","CUDOS","Clinically Useful Outcome Depression Scale","© 2008 Dr. Mark Zimmerman","Used with permission","https://www.lifespan.org/"
"1633","BDI_Pearson","NCS Pearson, Inc","Copyright © 2017 NCS Pearson, Inc.","Used with permission.","To learn more about the Beck Scales or to purchase Pearson products, visit www.pearsonclinical.com/beck"
"1639","Geneva_ACP","American College of Physicians","Copyright © 2006 American College of Physicians.","Used with permission.","www.acponline.org"
"1650","ECOG","Everyday Cognition","Copyright © 2008 Sarah Tomaszewski Farias","Used with permission",""
"1661","PERC","Dr. Jeffery Kline","Copyright © 2004 Dr. Jeffery Kline","Used with permission",""
"1674","POEM","Patient-Oriented Eczema Measure (POEM)","Copyright © 2004 The University of Nottingham.","Used with permission.",""
"1678","CRQ-SAS","Chronic Respiratory Questionnaire Self-Administered, Standardized Format (CRQ-SAS)","Copyright © 2001 McMaster University, Hamilton, Ontario, Canada. The Chronic Respiratory Questionnaire Self-Administered, Standardized Format (CRQ-SAS), Principal authors Drs. G.H. Guyatt, and Dr. H.J. Schünemann, is the copyright of McMaster University (Copyright ©2001, McMaster University).","Use of the CRQ-SAS name has been provided with permission from McMaster University. For use of the CRQ-SAS Questionnaire, please contact the McMaster Industry Liaison Office at McMaster University, email: milo@mcmaster.ca for licensing details.",""
"1679","CRQ-SAI","Chronic Respiratory Questionnaire Self-Administered, Individualized Format (CRQ-SAI)","Copyright © 2001 McMaster University, Hamilton, Ontario, Canada. The Chronic Respiratory Questionnaire Self-Administered, Individualized Format (CRQ-SAI), Principal authors Drs. G.H. Guyatt, and Dr. H.J. Schünemann, is the copyright of McMaster University (Copyright ©2001, McMaster University).","Use of the CRQ-SAI name has been provided with permission from McMaster University. For use of the CRQ-SAI Questionnaire, please contact the McMaster Industry Liaison Office at McMaster University, email: milo@mcmaster.ca for licensing details.",""
"1681","PsoSat","Psoriasis Satisfaction Questionnaire (PsoSat)","Copyright © 2016 Matthias Augustin.","Used with permission.",""
"1685","FRAX","Fracture Risk Assessment (FRAX)","Copyright © 2008 Eugene McCloskey.","Used with permission.",""
"1703","Keele_SBST","University of Keele, STarT Back Screening Tool (SBST)","Copyright © 2007 University of Keele.","Used with permission.","https://www.keele.ac.uk/sbst/legal/"
"1704","Duke-AD","Duke University - Duke Anxiety-Depression Scale","Copyright © 1994 Department of Community and Family Medicine, Duke University Medical Center, Durham, NC, USA.","Used with permission.","https://cfm.duke.edu/research/duke-health-measures"
"1707","Webster_Opioid","Lynn Webster, MD","© 2018 Dr. Lynn Webster","Used with permission",""
"1709","NPUAP_Push","National Pressure Ulcer Advisory Panel","Copyright © 1998 National Pressure Ulcer Advisory Panel","Used with permission. It is understood that the name of the instrument and the indication that the copyright belongs to the National Pressure Ulcer Advisory Panel remain on any copies and that you do not make any changes to the wording or scoring of this tool.","www.npuap.org"
"1710","NPUAP_2016","National Pressure Ulcer Advisory Panel","Copyright © 2016 National Pressure Ulcer Advisory Panel","Used with permission. It is understood that the name of the instrument and the indication that the copyright belongs to the National Pressure Ulcer Advisory Panel remain on any copies and that you do not make any changes to the wording or scoring of this tool.","www.npuap.org"
"1716","RAND","RAND Health Care","Copyright © the RAND Corporation.","RAND's permission to reproduce the survey is not an endorsement of the products, services, or other uses in which the survey appears or is applied.","https://www.rand.org/health-care"
"1717","MFQ","Mood and Feelings Questionnaires (MFQ)","Copyright © Adrian Angold & Elizabeth J. Costello, 1987; Developmental Epidemiology Program; Duke University.","Used with permission.","http://devepi.duhs.duke.edu/mfq.html"
"1718","NACHC_PRAPARE","National Association of Community Health Centers","© 2019. This item comes from the national PRAPARE social determinants of health assessment protocol, developed and owned by the National Association of Community Health Centers (NACHC), in partnership with the Association of Asian Pacific Community Health Organization (AAPCHO), the Oregon Primary Care Association (OPCA), and the Institute for Alternative Futures (IAF). For more information, visit www.nachc.org/prapare","Used with permission.","www.nachc.org"
